ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
36493,2,1,0,1,1,5,1,1,12,18,0,0,4,1,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,1,0,3,1,,1
36494,2,1,0,1,1,0,1,1,13,17,13,30,5,2,,,,,,,2,,,,,,1,0,,,,,,0,0,0,0,0,0,0,0,,0
36495,2,1,0,0,1,0,1,0,12,18,0,0,0,1,,,,,,,0,,,,,,1,0,,,,,,0,0,0,0,0,0,0,1,,0
36501,2,1,,1,1,6,1,1,13,19,0,0,5,1,,,,,,,1,,,,,,1,0,,,,,,0,0,0,0,0,0,0,0,,0
36504,2,1,0,1,1,0,1,1,12,18,12,19,5,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
36512,2,0,0,1,1,6,1,1,11,19,11,23,6,1,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,1,0,3,1,,1
36522,2,1,0,1,1,0,1,1,11,18,11,19,4,1,,,,,,,1,,,,,,1,4,,,,4,0,2,0,0,1,1,0,3,0,,1
37038,2,0,,1,1,0,1,0,0,17,0,0,0,1,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,
37241,2,1,0,1,1,12,1,1,12,18,12,40,4,1,,,,,,,1,,,,,,2,,,,,,,,0,0,2,1,1,1,0,,3
37261,2,1,0,1,1,0,1,1,14,11,14,20,7,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
42120,2,1,0,1,1,12,1,1,15,18,15,30,7,1,2,3,1,1,2,1,1,4,1,1,,1,1,1,1,1,0,,,2,0,0,1,0,0,1,0,1,1
